"","Building","use","SQFT","Elect_kWH","Steam_Mlb","NGas","Oil2","Oil4","Diesel"
"1","10 and 30 South Wacker","Base Loads",2879120.28,2754294.90930369,0,189373.05,0,0,6444.6
"2","10 and 30 South Wacker","Cooling Loads",2879120.28,20480116.5301346,0,976390.4,0,0,32223
"3","10 and 30 South Wacker","Heating Loads",2879120.28,28048559.6693973,0,1112728.5,0,0,38667.6
"4","10900 Wilshire","Base Loads",236087,221719.046225863,0,8270.3,0,0,0
"5","10900 Wilshire","Cooling Loads",236087,1179385.91281451,0,218316.8,0,0,0
"6","10900 Wilshire","Heating Loads",236087,1309322.7472206,0,1268059.8,0,0,0
"7","1099 New York Ave.","Base Loads",180271,428669.280280866,0,0,0,0,0
"8","1099 New York Ave.","Cooling Loads",180271,2340686.30778233,0,0,0,0,0
"9","1099 New York Ave.","Heating Loads",180271,2813503.56933879,0,71795.75,0,0,0
"10","11 West 42nd Street","Base Loads",958862,330498.873610298,0,6396771.9,0,0,0
"11","11 West 42nd Street","Cooling Loads",958862,1628213.8970158,0,54214016.3,0,0,0
"12","11 West 42nd Street","Heating Loads",958862,1742687.56582797,0,87695376.3,0,0,0
"13","1120 G Street, NW","Base Loads",135096,268787.390286717,0,80961.1,0,0,0
"14","1120 G Street, NW","Cooling Loads",135096,2207541.04739614,0,150918.45,0,0,0
"15","1120 G Street, NW","Heating Loads",135096,1543117.10064365,0,1646342.6,0,0,0
"16","11975 W Bluff Creek Drive ","Base Loads",NA,91138.8531304857,0,51703.4,0,0,0
"17","11975 W Bluff Creek Drive ","Cooling Loads",NA,511142.086015214,0,254843.15,0,0,0
"18","11975 W Bluff Creek Drive ","Heating Loads",NA,599021.78174371,0,705588.5,0,0,0
"19","11985 W Bluff Creek Drive","Base Loads",42887,58849.4733762434,0,112215.85,0,0,0
"20","11985 W Bluff Creek Drive","Cooling Loads",42887,363089.877121123,0,454471.9,0,0,0
"21","11985 W Bluff Creek Drive","Heating Loads",42887,382338.853130486,0,912690.5,0,0,0
"22","11995 W Bluff Creek Drive","Base Loads",44657,51675.9362200117,0,17762.7,0,0,0
"23","11995 W Bluff Creek Drive","Cooling Loads",44657,272531.802223523,0,127481,0,0,0
"24","11995 W Bluff Creek Drive","Heating Loads",44657,287486.161497952,0,438321.2,0,0,0
"25","12005 W Bluff Creek Drive","Base Loads",36438,47669.6606202458,0,6589.1,0,0,0
"26","12005 W Bluff Creek Drive","Cooling Loads",36438,268527.472205968,0,170041.5,0,0,0
"27","12005 W Bluff Creek Drive","Heating Loads",36438,296145.026331188,0,558669.05,0,0,0
"28","1201 F St.","Base Loads",244653,379283.703920421,0,8240.35,0,0,0
"29","1201 F St.","Cooling Loads",244653,2174554.06670568,0,29800.45,0,0,0
"30","1201 F St.","Heating Loads",244653,2427938.20947923,0,53594.75,0,0,0
"31","12015 W Bluff Creek Drive","Base Loads",36392,29851.6091281451,0,25944,0,0,0
"32","12015 W Bluff Creek Drive","Cooling Loads",36392,162648.741954359,0,198558.95,0,0,0
"33","12015 W Bluff Creek Drive","Heating Loads",36392,167860.503218256,0,354745.45,0,0,0
"34","12105 West Waterfront Drive","Base Loads",296319,63465.4915155061,0,0,0,0,0
"35","12105 West Waterfront Drive","Cooling Loads",296319,655158.031012288,0,0,0,0,0
"36","12105 West Waterfront Drive","Heating Loads",296319,693930.354008192,0,0,0,0,0
"37","12126 West Waterfront Drive","Base Loads",129313,13176.8285547104,0,0,0,0,0
"38","12126 West Waterfront Drive","Cooling Loads",129313,134591.895845524,0,0,0,0,0
"39","12126 West Waterfront Drive","Heating Loads",129313,156063.648332358,0,0,0,0,0
"40","125 High Street","Base Loads",1486596,0,0,0,0,0,0
"41","1275 Crossman","Base Loads",0,1043484.34757168,0,77653.35,0,0,0
"42","1275 Crossman","Cooling Loads",0,14247913.370392,0,301110.1,0,0,0
"43","1275 Crossman","Heating Loads",0,11890591.2229374,0,741919.35,0,0,0
"44","1345 Crossman","Base Loads",0,195985.561732007,0,212081.55,0,0,0
"45","1345 Crossman","Cooling Loads",0,1032592.48098303,0,1199760.4,0,0,0
"46","1345 Crossman","Heating Loads",0,1217451.94558221,0,2899701.15,0,0,0
"47","1375 Crossman","Base Loads",0,209267.539496782,0,120112.45,0,0,0
"48","1375 Crossman","Cooling Loads",0,1033397.16208309,0,894468.05,0,0,0
"49","1375 Crossman","Heating Loads",0,1236668.81217086,0,2222381.85,0,0,0
"50","160 Spear","Base Loads",303429,231137.068461088,0,226829.45,0,0,0
"51","160 Spear","Cooling Loads",303429,1558585.15213575,0,1286340.15,0,0,0
"52","160 Spear","Heating Loads",303429,1272543.51960211,0,1589989.65,0,0,0
"53","1717 Penn Ave.","Base Loads",202183,362177.135751902,0,0,0,0,0
"54","1717 Penn Ave.","Cooling Loads",202183,1882843.68051492,0,0,0,0,0
"55","1717 Penn Ave.","Heating Loads",202183,2800901.94558221,0,0,0,0,0
"56","1730 Penn Ave.","Base Loads",268704,386030.675833821,0,0,0,0,0
"57","1730 Penn Ave.","Cooling Loads",268704,2578293.88531305,0,0,0,0,2710.1
"58","1730 Penn Ave.","Heating Loads",268704,2153711.70275015,0,0,0,0,1940.5
"59","1747 Penn Ave.","Base Loads",167926,241376.141018139,0,16785.05,0,0,0
"60","1747 Penn Ave.","Cooling Loads",167926,1380293.50497367,0,78403.75,0,0,0
"61","1747 Penn Ave.","Heating Loads",167926,1801379.08133411,0,119131.95,0,0,0
"62","175 Varick","Base Loads",176119,110599.253949678,0,52.2,0,0,0
"63","175 Varick","Cooling Loads",176119,771478.964306612,0,112.8,0,365365,0
"64","175 Varick","Heating Loads",176119,766960.196021065,0,891.7,0,5930009.1,0
"65","1775 Penn Ave. ","Base Loads",NA,212508.908718549,0,0,0,0,0
"66","1775 Penn Ave. ","Cooling Loads",NA,1244991.88121709,0,0,0,0,0
"67","1775 Penn Ave. ","Heating Loads",NA,1437836.6442364,0,0,0,0,0
"68","1919 Penn Ave.","Base Loads",290069,338211.966062025,0,8250.8,0,0,0
"69","1919 Penn Ave.","Cooling Loads",290069,1815694.16325336,0,94781.15,0,0,0
"70","1919 Penn Ave.","Heating Loads",290069,2060313.70684611,0,1989862.25,0,0,0
"71","2000 K","Base Loads",234278,197488.677589233,0,19452.8,0,0,0
"72","2000 K","Cooling Loads",234278,1028219.03159743,0,81534.6,0,0,0
"73","2000 K","Heating Loads",234278,1420684.65476887,0,681855.55,0,0,0
"74","2050 M Street","Base Loads",340507,0,0,0,0,0,0
"75","2050 M Street","Heating Loads",340507,101684.040374488,0,0,0,0,0
