Building,Asset.Type,SQFT,CITY
10 and 30 South Wacker,office,0,city
10900 Wilshire,office,0,city
1099 New York Ave.,office,0,city
11 West 42nd Street,office,0,city
"1120 G Street, NW",office,0,city
11975 W Bluff Creek Drive ,office,0,city
11985 W Bluff Creek Drive,office,0,city
11995 W Bluff Creek Drive,office,0,city
12005 W Bluff Creek Drive,office,0,city
1201 F St.,office,0,city
12015 W Bluff Creek Drive,office,0,city
12105 West Waterfront Drive,office,0,city
12126 West Waterfront Drive,office,0,city
125 High Street,office,0,city
1275 Crossman,office,0,city
1345 Crossman,office,0,city
1375 Crossman,office,0,city
160 Spear,office,0,city
1717 Penn Ave.,office,0,city
1730 Penn Ave.,office,0,city
1747 Penn Ave.,office,0,city
175 Varick,office,0,city
1775 Penn Ave. ,office,0,city
1919 Penn Ave.,office,0,city
2000 K,office,0,city
2050 M Street,office,0,city
222 N LaSalle,office,0,city
222 Second Street,office,0,city
28-10 Jackson Ave,office,0,city
28-30 Jackson Ave,office,0,city
28-40 Jackson Ave,office,0,city
300 Park,office,0,city
333 Bush,office,0,city
400 Castro,office,0,city
407 N Maple,office,0,city
520 Madison,office,0,city
520 Pike Tower,office,0,city
525 W Monroe,office,0,city
595 Market,office,0,city
6430 Sunset,office,0,city
900 19th Street,office,0,city
Arboretum Courtyard,office,0,city
Bala I,office,0,city
Bala II,office,0,city
Bala III,office,0,city
Beverly Place,office,0,city
Chrysler East Building,office,0,city
CitySpire,office,0,city
GAC,office,0,city
Hearst Tower,office,0,city
Hearst Warehouse,office,0,city
International Square,office,0,city
Longridge,office,0,city
Maple Plaza,office,0,city
Metlife Building,office,0,city
One Bush,office,0,city
One Channel Center,office,0,city
One Channel Center Parking,office,0,city
One Federal,office,0,city
Reston Crossing I,office,0,city
Reston Crossing II,office,0,city
Sunset Tower Parking,office,0,city
The Franklin,office,0,city
The JACX,office,0,city
Torrey Plaza (A),office,0,city
Torrey Plaza (B),office,0,city
Torrey Plaza (C),office,0,city
