,Building,use,Elect_kWH,Steam_Mlb,Elect,NGas,Steam,Oil2,Oil4,Diesel,Total,Asset.Type,SQFT,CITY,...5
1,10 and 30 South Wacker,Base Loads,2754294.909,0,9414180,189373.05,0,0,0,6444.6,9609997.65,office,2879120.28,Chicago,NA
2,10 and 30 South Wacker,Cooling Loads,20480116.53,0,70001038.3,976390.4,0,0,0,32223,71009651.7,office,2879120.28,Chicago,NA
3,10 and 30 South Wacker,Heating Loads,28048559.67,0,95869976.95,1112728.5,0,0,0,38667.6,97021373.05,office,2879120.28,Chicago,NA
4,10900 Wilshire,Base Loads,221719.0462,0,757835.7,8270.3,0,0,0,0,766106,office,236087,Los Angeles,NA
5,10900 Wilshire,Cooling Loads,1179385.913,0,4031141.05,218316.8,0,0,0,0,4249457.85,office,236087,Los Angeles,NA
6,10900 Wilshire,Heating Loads,1309322.747,0,4475265.15,1268059.8,0,0,0,0,5743324.95,office,236087,Los Angeles,NA
7,1099 New York Ave.,Base Loads,428669.2803,0,1465191.6,0,0,0,0,0,1465191.6,office,180271,"Washington, D.C.",NA
8,1099 New York Ave.,Cooling Loads,2340686.308,0,8000465.8,0,0,0,0,0,8000465.8,office,180271,"Washington, D.C.",NA
9,1099 New York Ave.,Heating Loads,2813503.569,0,9616555.2,71795.75,0,0,0,0,9688350.95,office,180271,"Washington, D.C.",NA
10,11 West 42nd Street,Base Loads,330498.8736,0,1129645.15,6396771.9,0,0,0,0,7526417.05,office,958862,New York,NA
11,11 West 42nd Street,Cooling Loads,1628213.897,0,5565235.1,54214016.3,0,0,0,0,59779251.4,office,958862,New York,NA
12,11 West 42nd Street,Heating Loads,1742687.566,0,5956506.1,87695376.3,0,0,0,0,93651882.4,office,958862,New York,NA
13,"1120 G Street, NW",Base Loads,268787.3903,0,918715.3,80961.1,0,0,0,0,999676.4,office,135096,"Washington, D.C.",NA
14,"1120 G Street, NW",Cooling Loads,2207541.047,0,7545375.3,150918.45,0,0,0,0,7696293.75,office,135096,"Washington, D.C.",NA
15,"1120 G Street, NW",Heating Loads,1543117.101,0,5274374.25,1646342.6,0,0,0,0,6920716.85,office,135096,"Washington, D.C.",NA
16,11975 W Bluff Creek Drive ,Base Loads,91138.85313,0,311512.6,51703.4,0,0,0,0,363216,NA,NA,NA,NA
17,11975 W Bluff Creek Drive ,Cooling Loads,511142.086,0,1747083.65,254843.15,0,0,0,0,2001926.8,NA,NA,NA,NA
18,11975 W Bluff Creek Drive ,Heating Loads,599021.7817,0,2047456.45,705588.5,0,0,0,0,2753044.95,NA,NA,NA,NA
19,11985 W Bluff Creek Drive,Base Loads,58849.47338,0,201147.5,112215.85,0,0,0,0,313363.35,office,42887,Los Angeles,NA
20,11985 W Bluff Creek Drive,Cooling Loads,363089.8771,0,1241041.2,454471.9,0,0,0,0,1695513.1,office,42887,Los Angeles,NA
21,11985 W Bluff Creek Drive,Heating Loads,382338.8531,0,1306834.2,912690.5,0,0,0,0,2219524.7,office,42887,Los Angeles,NA
22,11995 W Bluff Creek Drive,Base Loads,51675.93622,0,176628.35,17762.7,0,0,0,0,194391.05,office,44657,Los Angeles,NA
23,11995 W Bluff Creek Drive,Cooling Loads,272531.8022,0,931513.7,127481,0,0,0,0,1058994.7,office,44657,Los Angeles,NA
24,11995 W Bluff Creek Drive,Heating Loads,287486.1615,0,982627.7,438321.2,0,0,0,0,1420948.9,office,44657,Los Angeles,NA
25,12005 W Bluff Creek Drive,Base Loads,47669.66062,0,162934.9,6589.1,0,0,0,0,169524,office,36438,Los Angeles,NA
26,12005 W Bluff Creek Drive,Cooling Loads,268527.4722,0,917826.9,170041.5,0,0,0,0,1087868.4,office,36438,Los Angeles,NA
27,12005 W Bluff Creek Drive,Heating Loads,296145.0263,0,1012223.7,558669.05,0,0,0,0,1570892.75,office,36438,Los Angeles,NA
28,1201 F St.,Base Loads,379283.7039,0,1296391.7,8240.35,0,0,0,0,1304632.05,office,244653,"Washington, D.C.",NA
29,1201 F St.,Cooling Loads,2174554.067,0,7432625.8,29800.45,0,0,0,0,7462426.25,office,244653,"Washington, D.C.",NA
30,1201 F St.,Heating Loads,2427938.209,0,8298692.8,53594.75,0,0,0,0,8352287.55,office,244653,"Washington, D.C.",NA
31,12015 W Bluff Creek Drive,Base Loads,29851.60913,0,102032.8,25944,0,0,0,0,127976.8,office,36392,Los Angeles,NA
32,12015 W Bluff Creek Drive,Cooling Loads,162648.742,0,555933.4,198558.95,0,0,0,0,754492.35,office,36392,Los Angeles,NA
33,12015 W Bluff Creek Drive,Heating Loads,167860.5032,0,573747.2,354745.45,0,0,0,0,928492.65,office,36392,Los Angeles,NA
34,12105 West Waterfront Drive,Base Loads,63465.49152,0,216925.05,0,0,0,0,0,216925.05,office,296319,Los Angeles,NA
35,12105 West Waterfront Drive,Cooling Loads,655158.031,0,2239330.15,0,0,0,0,0,2239330.15,office,296319,Los Angeles,NA
36,12105 West Waterfront Drive,Heating Loads,693930.354,0,2371853.95,0,0,0,0,0,2371853.95,office,296319,Los Angeles,NA
37,12126 West Waterfront Drive,Base Loads,13176.82855,0,45038.4,0,0,0,0,0,45038.4,office,129313,Los Angeles,NA
38,12126 West Waterfront Drive,Cooling Loads,134591.8958,0,460035.1,0,0,0,0,0,460035.1,office,129313,Los Angeles,NA
39,12126 West Waterfront Drive,Heating Loads,156063.6483,0,533425.55,0,0,0,0,0,533425.55,office,129313,Los Angeles,NA
40,125 High Street,Base Loads,0,0,0,0,0,0,0,0,0,office,1486596,Boston,NA
41,1275 Crossman,Base Loads,1043484.348,0,3566629.5,77653.35,0,0,0,0,3644282.85,office,0,city,Don't own anymore (Sunnyvale campus)
42,1275 Crossman,Cooling Loads,14247913.37,0,48699367.9,301110.1,0,0,0,0,49000478,office,0,city,Don't own anymore (Sunnyvale campus)
43,1275 Crossman,Heating Loads,11890591.22,0,40642040.8,741919.35,0,0,0,0,41383960.15,office,0,city,Don't own anymore (Sunnyvale campus)
44,1345 Crossman,Base Loads,195985.5617,0,669878.65,212081.55,0,0,0,0,881960.2,office,0,city,Don't own anymore (Sunnyvale campus)
45,1345 Crossman,Cooling Loads,1032592.481,0,3529401.1,1199760.4,0,0,0,0,4729161.5,office,0,city,Don't own anymore (Sunnyvale campus)
46,1345 Crossman,Heating Loads,1217451.946,0,4161250.75,2899701.15,0,0,0,0,7060951.9,office,0,city,Don't own anymore (Sunnyvale campus)
47,1375 Crossman,Base Loads,209267.5395,0,715276.45,120112.45,0,0,0,0,835388.9,office,0,city,Don't own anymore (Sunnyvale campus)
48,1375 Crossman,Cooling Loads,1033397.162,0,3532151.5,894468.05,0,0,0,0,4426619.55,office,0,city,Don't own anymore (Sunnyvale campus)
49,1375 Crossman,Heating Loads,1236668.812,0,4226934,2222381.85,0,0,0,0,6449315.85,office,0,city,Don't own anymore (Sunnyvale campus)
50,160 Spear,Base Loads,231137.0685,0,790026.5,226829.45,0,0,0,0,1016855.95,office,303429,San Francisco,NA
51,160 Spear,Cooling Loads,1558585.152,0,5327244.05,1286340.15,0,0,0,0,6613584.2,office,303429,San Francisco,NA
52,160 Spear,Heating Loads,1272543.52,0,4349553.75,1589989.65,0,0,0,0,5939543.4,office,303429,San Francisco,NA
53,1717 Penn Ave.,Base Loads,362177.1358,0,1237921.45,0,0,0,0,0,1237921.45,office,202183,"Washington, D.C.",NA
54,1717 Penn Ave.,Cooling Loads,1882843.681,0,6435559.7,0,0,0,0,0,6435559.7,office,202183,"Washington, D.C.",NA
55,1717 Penn Ave.,Heating Loads,2800901.946,0,9573482.85,0,0,0,0,0,9573482.85,office,202183,"Washington, D.C.",NA
56,1730 Penn Ave.,Base Loads,386030.6758,0,1319452.85,0,0,0,0,0,1319452.85,office,268704,"Washington, D.C.",NA
57,1730 Penn Ave.,Cooling Loads,2578293.885,0,8812608.5,0,0,0,0,2710.1,8815318.6,office,268704,"Washington, D.C.",NA
58,1730 Penn Ave.,Heating Loads,2153711.703,0,7361386.6,0,0,0,0,1940.5,7363327.1,office,268704,"Washington, D.C.",NA
59,1747 Penn Ave.,Base Loads,241376.141,0,825023.65,16785.05,0,0,0,0,841808.7,office,167926,"Washington, D.C.",NA
60,1747 Penn Ave.,Cooling Loads,1380293.505,0,4717843.2,78403.75,0,0,0,0,4796246.95,office,167926,"Washington, D.C.",NA
61,1747 Penn Ave.,Heating Loads,1801379.081,0,6157113.7,119131.95,0,0,0,0,6276245.65,office,167926,"Washington, D.C.",NA
