"","Building","SQFT","Load","Base Loads","Cooling Loads","Heating Loads"
"1","10 and 30 South Wacker",2879120.28,"Diesel",6444.6,32223,38667.6
"2","10 and 30 South Wacker",2879120.28,"Elect_kWH",2754294.90930369,20480116.5301346,28048559.6693973
"3","10 and 30 South Wacker",2879120.28,"NGas",189373.05,976390.4,1112728.5
"4","10900 Wilshire",236087,"Elect_kWH",221719.046225863,1179385.91281451,1309322.7472206
"5","10900 Wilshire",236087,"NGas",8270.3,218316.8,1268059.8
"6","1099 New York Ave.",180271,"Elect_kWH",428669.280280866,2340686.30778233,2813503.56933879
"7","1099 New York Ave.",180271,"NGas",0,0,71795.75
"8","11 West 42nd Street",958862,"Elect_kWH",330498.873610298,1628213.8970158,1742687.56582797
"9","11 West 42nd Street",958862,"NGas",6396771.9,54214016.3,87695376.3
"10","1120 G Street, NW",135096,"Elect_kWH",268787.390286717,2207541.04739614,1543117.10064365
"11","1120 G Street, NW",135096,"NGas",80961.1,150918.45,1646342.6
"12","11975 W Bluff Creek Drive ",NA,"Elect_kWH",91138.8531304857,511142.086015214,599021.78174371
"13","11975 W Bluff Creek Drive ",NA,"NGas",51703.4,254843.15,705588.5
"14","11985 W Bluff Creek Drive",42887,"Elect_kWH",58849.4733762434,363089.877121123,382338.853130486
"15","11985 W Bluff Creek Drive",42887,"NGas",112215.85,454471.9,912690.5
"16","11995 W Bluff Creek Drive",44657,"Elect_kWH",51675.9362200117,272531.802223523,287486.161497952
"17","11995 W Bluff Creek Drive",44657,"NGas",17762.7,127481,438321.2
"18","12005 W Bluff Creek Drive",36438,"Elect_kWH",47669.6606202458,268527.472205968,296145.026331188
"19","12005 W Bluff Creek Drive",36438,"NGas",6589.1,170041.5,558669.05
"20","1201 F St.",244653,"Elect_kWH",379283.703920421,2174554.06670568,2427938.20947923
"21","1201 F St.",244653,"NGas",8240.35,29800.45,53594.75
"22","12015 W Bluff Creek Drive",36392,"Elect_kWH",29851.6091281451,162648.741954359,167860.503218256
"23","12015 W Bluff Creek Drive",36392,"NGas",25944,198558.95,354745.45
"24","12105 West Waterfront Drive",296319,"Elect_kWH",63465.4915155061,655158.031012288,693930.354008192
"25","12126 West Waterfront Drive",129313,"Elect_kWH",13176.8285547104,134591.895845524,156063.648332358
"26","1275 Crossman",0,"Elect_kWH",1043484.34757168,14247913.370392,11890591.2229374
"27","1275 Crossman",0,"NGas",77653.35,301110.1,741919.35
"28","1345 Crossman",0,"Elect_kWH",195985.561732007,1032592.48098303,1217451.94558221
"29","1345 Crossman",0,"NGas",212081.55,1199760.4,2899701.15
"30","1375 Crossman",0,"Elect_kWH",209267.539496782,1033397.16208309,1236668.81217086
"31","1375 Crossman",0,"NGas",120112.45,894468.05,2222381.85
"32","160 Spear",303429,"Elect_kWH",231137.068461088,1558585.15213575,1272543.51960211
"33","160 Spear",303429,"NGas",226829.45,1286340.15,1589989.65
